date,day_type,day_move,direction,entry_spot,exit_spot,entry_minute,exit_minute,hold_min,underlying_move,mfe,pnl,entry_cost,exit_reason,entry_score,entry_state
2026-02-12,STRONG_TREND,-107.57999999999993,BULLISH,6946.8,6929.99,613,639,26,-16.81,6.2,-11.96,16.88,STOP_HIT,60,ACCELERATING
2026-02-18,MODERATE_TREND,36.76999999999953,BULLISH,6890.23,6877.96,843,872,29,-12.27,0.36,-8.33,10.43,STOP_HIT,35,NONE
2026-02-20,MODERATE_TREND,44.50999999999931,BEARISH,6891.6,6889.1,625,640,15,2.5,17.71,-9.2,16.61,TRAIL_EXIT,40,ACCELERATING
2026-02-20,MODERATE_TREND,44.50999999999931,BEARISH,6884.33,6897.61,643,646,3,-13.28,0.0,-11.35,16.2,STOP_HIT,35,ACCELERATING
2026-02-20,MODERATE_TREND,44.50999999999931,BULLISH,6888.78,6889.46,696,730,34,0.68,18.29,-10.23,14.92,TRAIL_EXIT,35,ACCELERATING
2026-02-20,MODERATE_TREND,44.50999999999931,BEARISH,6889.07,6902.16,784,822,38,-13.09,9.45,-9.57,12.45,STOP_HIT,35,AT_CONTACT
2026-02-20,MODERATE_TREND,44.50999999999931,BEARISH,6906.27,6904.73,847,853,6,1.54,1.54,-6.32,10.28,THESIS_FLIP,70,BREAKOUT
2026-02-20,MODERATE_TREND,44.50999999999931,BULLISH,6903.47,6906.02,862,945,83,2.55,4.26,-6.85,9.67,EOD_CLOSE,50,ACCELERATING
2026-02-23,STRONG_TREND,-72.69999999999982,BEARISH,6881.83,6859.31,600,629,29,22.52,22.52,10.36,17.17,TARGET_HIT,40,AT_CONTACT
2026-02-23,STRONG_TREND,-72.69999999999982,BEARISH,6861.59,6840.78,631,657,26,20.81,20.81,9.08,16.48,TARGET_HIT,45,NONE
2026-02-24,MODERATE_TREND,53.289999999999964,BEARISH,6849.81,6863.49,616,622,6,-13.68,0.0,-11.74,16.81,STOP_HIT,45,AT_CONTACT
2026-02-24,MODERATE_TREND,53.289999999999964,BEARISH,6863.49,6875.53,622,628,6,-12.04,0.0,-11.66,16.68,STOP_HIT,35,NONE
2026-02-24,MODERATE_TREND,53.289999999999964,BEARISH,6875.53,6889.7,628,731,103,-14.17,6.91,-12.55,16.55,STOP_HIT,35,ACCELERATING
2026-02-24,MODERATE_TREND,53.289999999999964,BEARISH,6887.43,6883.46,766,858,92,3.97,3.97,-6.7,13.0,THESIS_FLIP,40,BREAKOUT
2026-02-25,MODERATE_TREND,57.39000000000033,BULLISH,6929.62,6949.81,602,879,277,20.19,20.19,5.04,17.12,TARGET_HIT,55,ACCELERATING
2026-02-26,MODERATE_TREND,-38.52000000000044,BULLISH,6921.26,6907.98,605,614,9,-13.28,0.0,-11.91,17.06,STOP_HIT,40,ACCELERATING
2026-02-26,MODERATE_TREND,-38.52000000000044,BULLISH,6897.02,6884.63,659,705,46,-12.39,7.92,-11.55,15.83,STOP_HIT,65,AT_CONTACT
2026-02-26,MODERATE_TREND,-38.52000000000044,BEARISH,6904.86,6908.68,867,945,78,-3.82,3.1,-9.18,9.46,EOD_CLOSE,45,AT_CONTACT
2026-03-20,STRONG_TREND,-116.06999999999971,BEARISH,6558.76,6558.16,600,635,35,0.6,16.14,-11.61,17.17,TRAIL_EXIT,70,ACCELERATING
2026-03-20,STRONG_TREND,-116.06999999999971,BEARISH,6557.57,6554.9,749,776,27,2.67,10.59,-7.34,13.49,TRAIL_EXIT,40,ACCELERATING
